image_id,image_folder,image_filename,source_relpath,caption
ASI 003,cave16,C16-Nanda-Dying PrincessASI03.jpg,Asi_reduced (3.8 MB)\C16-Nanda-Dying PrincessASI03.jpg,"Dying Princess — Conversion of Nanda, Cave 16; Early 5th century AD"
ASI 005,overview,C01-Ceiling-MythicalBirds-ASI05.jpg,01-Cave (3.8 MB)\C01-Ceiling-MythicalBirds-ASI05.jpg,
ASI 007,cave1,C01-Nanda-WomanPouringWater-ASI07.jpg,01-Cave (3.8 MB)\C01-Nanda-WomanPouringWater-ASI07.jpg,"Maid tries to revive the Princess — Conversion of Nanda, Cave 1"
ASI 008,cave1,C01-Ceiling-ClownOnTree-ASI08.jpg,01-Cave (3.8 MB)\C01-Ceiling-ClownOnTree-ASI08.jpg,"Clown — ceiling painting, Cave 1"
ASI 009,cave1,C01-ShankhapalaJataka-WomeanListeining-ASI09.jpg,01-Cave (3.8 MB)\C01-ShankhapalaJataka-WomeanListeining-ASI09.jpg,"Woman Listens to the Sermon — Shankha-paala Jaataka, Cave 1"
ASI 017,cave1,C01-Lustration-HonouringAscetic-ASI17.jpg,01-Cave (3.8 MB)\C01-Lustration-HonouringAscetic-ASI17.jpg,"Royal Household pays Homage — Mahaa-janaka Jaataka, Cave 1"
ASI 019,cave1,C01-Lustration-Preparation-ASI19.jpg,01-Cave (3.8 MB)\C01-Lustration-Preparation-ASI19.jpg,"Preparation for the Ceremony — Mahaa-janaka Jaataka, Cave 1"
ASI 020,cave1,C01-Lustration-Bath-ASI20.jpg,01-Cave (3.8 MB)\C01-Lustration-Bath-ASI20.jpg,"Ceremonial Bath — Mahaa-janaka Jaataka, Cave 1"
ASI 025,cave1,C01-Ceiling-Rectangles-ASI25.jpg,01-Cave (3.8 MB)\C01-Ceiling-Rectangles-ASI25.jpg,"Squares and Rectangles 1 — ceiling painting, Cave 1"
ASI 027,cave1,C01-Mara_sEpisode-Daughter2-ASI27.jpg,01-Cave (3.8 MB)\C01-Mara_sEpisode-Daughter2-ASI27.jpg,"Daughter of Maara — Temptations of the Buddha, Cave 1"
ASI 028,cave1,C01-Ceiling-Elephant(Trimmed)-ASI28.jpg,01-Cave (3.8 MB)\C01-Ceiling-Elephant(Trimmed)-ASI28.jpg,"Elephant — ceiling painting (patraja shading), Cave 1"
ASI 030,cave1,C01-Ceiling-ChargingBull-ASI30.jpg,01-Cave (3.8 MB)\C01-Ceiling-ChargingBull-ASI30.jpg,"Charging Bull — ceiling painting (foreshortening), Cave 1"
